Name,Gender,h-index,Institution,Category,Subcategory,Zipcode,Program Area,Year
Kavin Ammigan,Unknown,N/A,Fermi National Accelerator Laboratory,National Lab,,60510,,2022
Alexander Austregesilo,Male,39,Thomas Jefferson National Accelerator Facility,National Lab,,23606,High Energy Physics,2022
Keith Bechtol,Male,N/A,University of Wisconsin-Madison,University,State/Public,53706,High Energy Physics,2022
Lauren E. Beckingham,Female,18,Auburn University,University,Other,36849,Basic Energy Sciences,2022
Timothy Berkelbach,Male,42,Columbia University,University,Ivy League,10027,Basic Energy Sciences,2022
Peter A. Bosler,Male,N/A,Sandia National Laboratories,National Lab,,87125,Basic Energy Sciences,2022
Itay Budin,Male,16,University of California San Diego,University,Other,92093,Advanced Scientific Computing Research,2022
Livia Casali,Female,19,University of Tennessee-Knoxville,University,Other,37996,Biological and Environmental Research,2022
David Cereceda,Male,10,Villanova University,University,Other,19085,Fusion Energy Sciences,2022
Katerina Chatziioannou,Female,73,California Institute of Technology,University,Private,91125,Fusion Energy Sciences,2022
Yang-Ting Chien,Unknown,24,Georgia State University,University,Other,30303,Nuclear Physics,2022
Christopher J. Dares,Male,24,Florida International University,University,Other,33199,Nuclear Physics,2022
Emily C. Davidson,Female,17,Princeton University,University,Ivy League,08540,Basic Energy Sciences,2022
John D. Despotopulos,Male,N/A,Lawrence Livermore National Laboratory,National Lab,,94550,Nuclear Physics,2022
Johannes Doerfert,Male,19,Argonne National Laboratory,National Lab,,60439,Nuclear Physics,2022
Chunhui Du,Unknown,28,"University of California, San Diego",University,State/Public,92093,Advanced Scientific Computing Research,2022
Auralee Edelen,Unknown,21,SLAC National Accelerator Laboratory,National Lab,,94025,Basic Energy Sciences,2022
Sabit Ekin,Male,15,Oklahoma State University,University,Other,74078,Basic Energy Sciences,2022
Timofey Frolov,Male,26,Lawrence Livermore National Laboratory,National Lab,,94550,Advanced Scientific Computing Research,2022
Trey E. Gebhart,Male,N/A,Oak Ridge National Laboratory,National Lab,,37830,Fusion Energy Sciences,2022
Emily B. Graham,Female,32,Pacific Northwest National Laboratory,National Lab,,99352,Fusion Energy Sciences,2022
Hanqi Guo,Unknown,26,Argonne National Laboratory,National Lab,,60439,Advanced Scientific Computing Research,2022
Ryan G. Hadt,Male,N/A,California Institute of Technology,University,Private,91125,Advanced Scientific Computing Research,2022
K. C. Hammond,Unknown,16,Princeton Plasma Physics Laboratory,National Lab,,08540,Basic Energy Sciences,2022
Shaun R. Haskey,Male,N/A,Princeton Plasma Physics Laboratory,National Lab,,08540,Fusion Energy Sciences,2022
Dugan Hayes,Male,20,University of Rhode Island,University,Other,02881,Fusion Energy Sciences,2022
Andrew Hearin,Male,33,Argonne National Laboratory,National Lab,,60439,Basic Energy Sciences,2022
Elizabeth Herndon,Female,23,Oak Ridge National Laboratory,National Lab,,37831,High Energy Physics,2022
Tova Holmes,Female,214,University of Tennessee,University,Other,37996,Biological and Environmental Research,2022
Tanzima Z. Islam,Unknown,N/A,Texas State University,University,Other,78666,High Energy Physics,2022
Benjamin Jorns,Male,31,University of Michigan,University,State/Public,48109,Advanced Scientific Computing Research,2022
Piran R. Kidambi,Unknown,41,Vanderbilt University,University,Other,37212,Fusion Energy Sciences,2022
Jae Chul Kim,Unknown,26,Stevens Institute of Technology,Unknown,,07030,Isotope R&D and Production,2022
Anders Knospe,Male,N/A,Lehigh University,University,Other,18015,Basic Energy Sciences,2022
Boopathy Kombaiah,Unknown,18,Idaho National Laboratory,National Lab,,83415,Nuclear Physics,2022
Noah Kurinsky,Male,33,SLAC National Laboratory,Unknown,,94025,Basic Energy Sciences,2022
Aeriel D.M. Leonard,Unknown,N/A,The Ohio State University,University,State/Public,43210,High Energy Physics,2022
Yuzhang Li,Unknown,48,"University of California, Los Angeles",University,State/Public,90095,Basic Energy Sciences,2022
Chong Liu,Unknown,87,The University of Chicago,University,Private,60637,Basic Energy Sciences,2022
Lu Lu,Unknown,229,University of Pennsylvania,University,Ivy League,19104,Basic Energy Sciences,2022
Xiao Luo,Unknown,47,"University of California, Santa Barbara",University,Other,93106,Advanced Scientific Computing Research,2022
Devin Matthews,Male,37,Southern Methodist University,University,Other,75275,High Energy Physics,2022
Matteo Mitrano,Male,24,Harvard University,University,Ivy League,02138,Basic Energy Sciences,2022
Christopher Monahan,Male,18,William & Mary,Unknown,,23187,Nuclear Physics,2022
Atieh Moridi,Unknown,21,Cornell University,University,Ivy League,14853,Nuclear Physics,2022
Andrew Mounce,Male,16,Sandia National Laboratories,National Lab,,87111,Basic Energy Sciences,2022
Benjamin Nachman,Male,200,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2022
Aditya G. Nair,Male,12,"University of Nevada, Reno",University,Other,89557,Advanced Scientific Computing Research,2022
Lisa Olshansky,Female,10,"University of Illinois, Urbana-Champaign",University,Other,61801,Basic Energy Sciences,2022
Guido Pagano,Male,25,Rice University,University,Private,77005,Basic Energy Sciences,2022
