Name,Gender,Institution,Category,Subcategory,h-index,Year
Kavin Ammigan,Unknown,Fermi National Accelerator Laboratory,National Lab,,N/A,2022
Alexander Austregesilo,Male,Thomas Jefferson National Accelerator Facility,National Lab,,39,2022
Keith Bechtol,Male,University of Wisconsin-Madison,University,State/Public,N/A,2022
Lauren E. Beckingham,Female,Auburn University,University,Other,18,2022
Timothy Berkelbach,Male,Columbia University,University,Ivy League,41,2022
Peter A. Bosler,Male,Sandia National Laboratories,National Lab,,N/A,2022
Itay Budin,Male,University of California San Diego,University,Other,16,2022
Livia Casali,Female,University of Tennessee-Knoxville,University,Other,19,2022
David Cereceda,Male,Villanova University,University,Other,10,2022
Katerina Chatziioannou,Female,California Institute of Technology,University,Private,72,2022
Yang-Ting Chien,Unknown,Georgia State University,University,Other,24,2022
Christopher J. Dares,Male,Florida International University,University,Other,24,2022
Emily C. Davidson,Female,Princeton University,University,Ivy League,17,2022
John D. Despotopulos,Male,Lawrence Livermore National Laboratory,National Lab,,N/A,2022
Johannes Doerfert,Male,Argonne National Laboratory,National Lab,,19,2022
Chunhui Du,Unknown,"University of California, San Diego",University,State/Public,27,2022
Auralee Edelen,Unknown,SLAC National Accelerator Laboratory,National Lab,,20,2022
Sabit Ekin,Male,Oklahoma State University,University,Other,15,2022
Timofey Frolov,Male,Lawrence Livermore National Laboratory,National Lab,,26,2022
Trey E. Gebhart,Male,Oak Ridge National Laboratory,National Lab,,N/A,2022
Emily B. Graham,Female,Pacific Northwest National Laboratory,National Lab,,31,2022
Hanqi Guo,Unknown,Argonne National Laboratory,National Lab,,26,2022
Ryan G. Hadt,Male,California Institute of Technology,University,Private,N/A,2022
K. C. Hammond,Unknown,Princeton Plasma Physics Laboratory,National Lab,,16,2022
Shaun R. Haskey,Male,Princeton Plasma Physics Laboratory,National Lab,,N/A,2022
Dugan Hayes,Male,University of Rhode Island,University,Other,20,2022
Andrew Hearin,Male,Argonne National Laboratory,National Lab,,33,2022
Elizabeth Herndon,Female,Oak Ridge National Laboratory,National Lab,,22,2022
Tova Holmes,Female,University of Tennessee,University,Other,210,2022
Tanzima Z. Islam,Unknown,Texas State University,University,Other,N/A,2022
Benjamin Jorns,Male,University of Michigan,University,State/Public,31,2022
Piran R. Kidambi,Unknown,Vanderbilt University,University,Other,41,2022
